iterations,fitness,time,fevals
0,27.0,0.086228427,1000
10,24.0,0.162288695,2100
20,36.0,0.230465142,3200
30,34.0,0.290289313,4300
40,37.0,0.346316184,5400
50,40.0,0.404633681,6500
60,45.0,0.45967829,7600
70,48.0,0.513627281,8700
80,47.0,0.567570089,9800
90,48.0,0.619431442,10900
100,49.0,0.673264233,12000
110,48.0,0.725926121,13100
120,50.0,0.778896847,14200
130,47.0,0.831639215,15300
140,48.0,0.884919832,16400
150,48.0,0.937500988,17500
160,47.0,0.989542692,18600
170,48.0,1.045490595,19700
180,47.0,1.101623075,20800
190,48.0,1.155338982,21900
200,49.0,1.208843571,23000
210,49.0,1.261350655,24100
220,48.0,1.312639542,25200
230,50.0,1.362532075,26300
240,49.0,1.415946349,27400
250,49.0,1.466047482,28500
260,49.0,1.519046984,29600
270,48.0,1.571926119,30700
280,48.0,1.623292787,31800
290,48.0,1.67389156,32900
300,49.0,1.727913362,34000
310,50.0,1.780084452,35100
320,48.0,1.830734048,36200
330,49.0,1.885676199,37300
340,50.0,1.938354981,38400
350,48.0,1.99195871,39500
360,49.0,2.04508634,40600
370,48.0,2.098730385,41700
380,48.0,2.15157393,42800
390,48.0,2.20539558,43900
400,48.0,2.259430968,45000
410,51.0,2.314516685,46100
420,48.0,2.365961843,47200
430,48.0,2.415907352,48300
440,48.0,2.467853284,49400
450,49.0,2.519041196,50500
460,48.0,2.570717444,51600
470,48.0,2.622367596,52700
480,49.0,2.674112435,53800
490,49.0,2.726335323,54900
500,48.0,2.778964395,56000
510,49.0,2.831160212,57100
520,49.0,2.884214583,58200
530,49.0,2.934404153,59300
540,48.0,2.987050178,60400
550,48.0,3.038682932,61500
560,49.0,3.089036135,62600
570,49.0,3.13906739,63700
580,49.0,3.191875149,64800
590,49.0,3.244472083,65900
600,49.0,3.297186477,67000
610,48.0,3.350006885,68100
620,48.0,3.399650429,69200
630,49.0,3.454768904,70300
640,51.0,3.507433406,71400
650,50.0,3.557644412,72500
660,49.0,3.609026655,73600
670,50.0,3.659499353,74700
680,51.0,3.710068278,75800
690,51.0,3.778623841,76900
700,51.0,3.83282141,78000
710,50.0,3.886364158,79100
720,51.0,3.940154564,80200
730,51.0,3.99536898,81300
740,51.0,4.047038717,82400
750,56.0,4.099079795,83500
760,51.0,4.150988957,84600
770,51.0,4.203649867,85700
780,51.0,4.254480401,86800
790,51.0,4.306971096,87900
800,51.0,4.359988099,89000
810,53.0,4.413458984,90100
820,52.0,4.468111473,91200
830,52.0,4.52290526,92300
840,52.0,4.574643835,93400
850,55.0,4.627935805,94500
860,53.0,4.681149773,95600
870,52.0,4.732035858,96700
880,53.0,4.781020423,97800
890,57.0,4.830264395,98900
900,52.0,4.880064205,100000
910,55.0,4.931935862,101100
920,60.0,4.98345192,102200
930,57.0,5.035877394,103300
940,60.0,5.092862121,104400
950,59.0,5.1467293,105500
960,60.0,5.20084364,106600
970,61.0,5.255052193,107700
980,61.0,5.307079914,108800
990,61.0,5.359440382,109900
1000,61.0,5.410430252,111000
1010,62.0,5.463560101,112100
1020,59.0,5.517279754,113200
1030,63.0,5.56758381,114300
1040,64.0,5.625205195,115400
1050,61.0,5.675723115,116500
1060,80.0,5.726869086,117600
1070,64.0,5.776934467,118700
1080,63.0,5.825687809,119800
1090,64.0,5.879644696,120900
1100,63.0,5.931255381,122000
1110,64.0,5.988552127,123100
1120,62.0,6.04063705,124200
1130,64.0,6.091087999,125300
1140,64.0,6.14591562,126400
1150,63.0,6.198566438,127500
1160,61.0,6.248009509,128600
1170,62.0,6.297597838,129700
1180,61.0,6.350199207,130800
1190,64.0,6.403550807,131900
1200,63.0,6.455962597,133000
1210,66.0,6.508335343,134100
