iterations,fitness,time,fevals
0,21.0,0.000675769999997,434
10,25.0,0.00127216,766
20,25.0,0.001784947,1103
30,26.0,0.002167902,1436
40,25.0,0.002570201,1761
50,28.0,0.002956587,2099
60,28.0,0.003391698,2429
70,29.0,0.003835006,2757
80,29.0,0.004368018,3094
90,30.0,0.00487741,3422
100,30.0,0.005371901,3749
110,32.0,0.005886429,4085
120,32.0,0.006393014,4420
130,35.0,0.006944963,4740
140,36.0,0.008288533,5073
150,38.0,0.009052494,5408
160,36.0,0.009684258,5744
170,36.0,0.01037244,6081
180,36.0,0.011364547,6411
190,36.0,0.012303566,6742
200,39.0,0.012776912,7079
210,40.0,0.013235783,7404
220,42.0,0.013696469,7728
230,42.0,0.014174015,8053
240,43.0,0.014610493,8383
250,47.0,0.015108165,8708
260,47.0,0.015561998,9041
270,48.0,0.015941253,9380
280,47.0,0.016351347,9723
290,47.0,0.016766968,10053
300,46.0,0.01722372,10385
310,47.0,0.01771051,10717
320,47.0,0.01821064,11046
330,50.0,0.018746842,11383
340,47.0,0.019273787,11711
350,50.0,0.019792532,12051
360,55.0,0.020763106,12377
370,55.0,0.021474536,12707
380,55.0,0.022086553,13047
390,55.0,0.02278637,13375
400,56.0,0.023387535,13706
410,56.0,0.024596007,14051
420,56.0,0.025318368,14383
430,57.0,0.025842257,14712
440,58.0,0.02634506,15040
450,57.0,0.026747607,15367
460,58.0,0.027174153,15702
470,58.0,0.027592963,16034
480,59.0,0.028023037,16367
490,58.0,0.028489836,16695
500,58.0,0.029012842,17030
510,57.0,0.029405834,17365
520,59.0,0.029912359,17695
530,60.0,0.030395657,18036
540,61.0,0.030888895,18372
550,61.0,0.03138919,18701
560,60.0,0.031901493,19031
570,61.0,0.03237077,19359
580,62.0,0.033136837,19697
590,62.0,0.034082704,20023
600,63.0,0.034587215,20361
610,61.0,0.035119395,20693
620,62.0,0.0356704,21026
630,63.0,0.036727287,21364
640,64.0,0.037424629,21701
650,63.0,0.038099571,22033
660,64.0,0.038679294,22367
670,64.0,0.039138019,22714
680,63.0,0.039612174,23047
690,63.0,0.040045989,23372
700,65.0,0.040550915,23710
710,64.0,0.041098216,24035
720,65.0,0.041609535,24368
730,65.0,0.042119557,24695
740,64.0,0.042646353,25033
750,64.0,0.043217682,25374
760,71.0,0.043616249,25705
770,64.0,0.044048053,26042
780,65.0,0.044503636,26374
790,65.0,0.044961812,26704
800,65.0,0.04592994,27040
810,65.0,0.046603991,27368
820,65.0,0.047125913,27696
830,65.0,0.04783121,28029
840,67.0,0.048497357,28350
850,67.0,0.049479821,28691
860,68.0,0.050031127,29029
870,67.0,0.050619011,29363
880,69.0,0.051134411,29693
890,67.0,0.051611336,30029
900,67.0,0.052076826,30367
910,67.0,0.05258375,30704
920,67.0,0.053093295,31030
930,68.0,0.053568496,31365
940,68.0,0.054094106,31699
950,68.0,0.054627217,32040
960,68.0,0.055138012,32387
970,66.0,0.055573054,32717
980,65.0,0.055978394,33051
990,66.0,0.056430176,33398
1000,65.0,0.056825947,33738
1010,65.0,0.057252635,34064
1020,65.0,0.058160389,34385
1030,68.0,0.058841819,34713
1040,69.0,0.059339846,35045
1050,70.0,0.059860072,35380
1060,67.0,0.060526247,35724
1070,68.0,0.061524335,36064
1080,69.0,0.062076675,36402
1090,66.0,0.062637791,36728
1100,66.0,0.063119872,37061
1110,66.0,0.063567909,37405
1120,65.0,0.064005027,37735
1130,65.0,0.064449742,38062
1140,65.0,0.064936005,38394
1150,68.0,0.065436383,38733
1160,69.0,0.065806327,39063
1170,69.0,0.066325663,39396
1180,71.0,0.066849155,39730
1190,69.0,0.067339702,40069
1200,71.0,0.067765197,40405
1210,71.0,0.068188531,40738
1220,71.0,0.06854167,41080
1230,72.0,0.068897771,41419
1240,72.0,0.069308534,41756
1250,72.0,0.070210594,42087
1260,72.0,0.071122339,42416
1270,73.0,0.071743586,42748
1280,73.0,0.072309803,43085
1290,72.0,0.073009096,43424
1300,72.0,0.074106292,43761
1310,72.0,0.074696125,44094
1320,73.0,0.075371696,44439
1330,73.0,0.075912916,44766
1340,73.0,0.076518684,45107
1350,72.0,0.077099153,45443
1360,72.0,0.077660243,45773
1370,72.0,0.078235275,46107
1380,72.0,0.078753541,46427
1390,73.0,0.079327794,46779
1400,72.0,0.079876285,47116
1410,75.0,0.080425884,47448
1420,71.0,0.080975771,47787
1430,76.0,0.081437885,48119
1440,73.0,0.081971787,48453
1450,73.0,0.082817984,48791
1460,73.0,0.083643097,49130
1470,73.0,0.084137999,49459
1480,73.0,0.084536212,49796
1490,73.0,0.085330998,50137
1500,74.0,0.086200751,50470
1510,73.0,0.086720504,50803
1520,74.0,0.087208535,51129
1530,74.0,0.087715105,51452
1540,73.0,0.088201059,51795
1550,75.0,0.095187434,52127
1560,73.0,0.095659697,52472
1570,74.0,0.096523125,52808
1580,74.0,0.097007343,53144
1590,74.0,0.097498063,53475
1600,74.0,0.098144782,53799
1610,74.0,0.098712715,54124
1620,77.0,0.099779354,54456
1630,76.0,0.10082022,54796
1640,76.0,0.101721673,55137
1650,76.0,0.102296046,55479
1660,74.0,0.102829329,55815
1670,79.0,0.103360311,56146
1680,80.0,0.103922436,56483
1690,80.0,0.104435703,56827
1700,79.0,0.104897065,57159
1710,80.0,0.105302729,57490
1720,80.0,0.105826164,57825
1730,79.0,0.106320611,58170
1740,79.0,0.106850683,58503
1750,79.0,0.10745487,58850
1760,78.0,0.10798432,59177
1770,78.0,0.108632803,59509
1780,76.0,0.109101065,59842
1790,79.0,0.109618167,60173
1800,78.0,0.110156836,60504
1810,78.0,0.110700688,60838
1820,78.0,0.111263724,61169
1830,79.0,0.111843347,61500
1840,78.0,0.112367531,61836
1850,79.0,0.11345145,62163
1860,78.0,0.114381645,62492
1870,79.0,0.115231292,62826
1880,79.0,0.115723051,63168
1890,79.0,0.116151001,63489
1900,79.0,0.116634331,63829
1910,80.0,0.117099444,64164
1920,80.0,0.117550886,64494
1930,80.0,0.118025233,64821
1940,80.0,0.118603934,65153
1950,80.0,0.119121755,65484
1960,80.0,0.119677859,65814
1970,80.0,0.12018449,66152
1980,80.0,0.120610091,66483
1990,81.0,0.121132733,66819
2000,80.0,0.121535365,67167
2010,81.0,0.122015022,67504
2020,80.0,0.122504846,67834
2030,80.0,0.123023177,68159
2040,80.0,0.123792761,68482
2050,79.0,0.124806748,68813
2060,79.0,0.125515147,69135
2070,80.0,0.126505284,69469
2080,80.0,0.127020958,69803
2090,79.0,0.127537674,70131
2100,80.0,0.128023243,70470
2110,79.0,0.128499298,70799
2120,78.0,0.128985746,71144
2130,79.0,0.129427892,71472
2140,79.0,0.12990343,71802
2150,80.0,0.130387187,72138
2160,79.0,0.130903142,72478
2170,80.0,0.131352056,72811
2180,80.0,0.131919685,73145
2190,80.0,0.132404656,73474
2200,79.0,0.132891236,73804
2210,80.0,0.133438787,74144
2220,81.0,0.133952744,74477
2230,79.0,0.134467447,74813
2240,79.0,0.134972347,75146
2250,80.0,0.135475087,75484
2260,79.0,0.136011046,75810
2270,78.0,0.13695231,76145
2280,80.0,0.137811548,76470
2290,80.0,0.138657464,76816
2300,80.0,0.139191565,77144
2310,82.0,0.13967136,77481
2320,82.0,0.140181051,77824
2330,82.0,0.140669793,78164
2340,82.0,0.141120942,78508
2350,83.0,0.141537343,78843
2360,82.0,0.141965818,79175
2370,82.0,0.142408943,79506
2380,80.0,0.142851653,79844
2390,80.0,0.143309462,80186
2400,80.0,0.143858817,80524
2410,80.0,0.14423566,80859
2420,82.0,0.14484444,81201
2430,82.0,0.1453644,81542
2440,83.0,0.145866874,81882
2450,83.0,0.146325995,82220
2460,82.0,0.146807251,82554
2470,82.0,0.147155084,82895
2480,83.0,0.147559786,83227
2490,82.0,0.147918009,83560
2500,82.0,0.148306894,83882
2510,83.0,0.148746729,84219
2520,83.0,0.149163704,84562
2530,82.0,0.150105768,84892
2540,83.0,0.150873279,85234
2550,83.0,0.151571012,85561
2560,82.0,0.151994215,85898
2570,82.0,0.152353905,86235
2580,82.0,0.152715276,86579
2590,82.0,0.153095548,86911
2600,83.0,0.153430599,87243
2610,82.0,0.153793439,87590
2620,82.0,0.154132008,87923
2630,82.0,0.154465753,88261
2640,82.0,0.154803924,88601
2650,82.0,0.155151831,88934
2660,82.0,0.155520588,89274
2670,82.0,0.155850233,89622
2680,83.0,0.156234751,89960
2690,82.0,0.156626322,90299
2700,83.0,0.157114454,90637
2710,83.0,0.15757777,90972
2720,89.0,0.158039473,91290
2730,87.0,0.158555427,91625
2740,87.0,0.159160624,91962
2750,87.0,0.159641563,92284
2760,87.0,0.160012073,92610
2770,87.0,0.160578889,92953
2780,87.0,0.161125951,93286
2790,87.0,0.161682478,93631
2800,87.0,0.162203245,93976
2810,86.0,0.162712703,94308
2820,86.0,0.163201529,94643
2830,85.0,0.163707085,94969
2840,86.0,0.164211122,95294
2850,87.0,0.164701314,95627
2860,87.0,0.165212794,95964
2870,87.0,0.165678197,96287
2880,87.0,0.166041818,96614
2890,86.0,0.166446299,96944
2900,86.0,0.166895049,97287
2910,86.0,0.167362413,97618
2920,86.0,0.1678657,97952
2930,86.0,0.168505481,98286
2940,86.0,0.168948468,98635
2950,86.0,0.169327137,98977
2960,86.0,0.169866531,99318
2970,86.0,0.170443741,99651
2980,86.0,0.17079467,99983
2990,86.0,0.171162911,100318
3000,86.0,0.171618644,100661
3010,86.0,0.172042225,100988
3020,88.0,0.172424636,101321
3030,86.0,0.172759193,101653
3040,88.0,0.17316344,101982
3050,86.0,0.173510226,102310
3060,86.0,0.173895611,102640
3070,87.0,0.174311603,102965
3080,86.0,0.175259636,103314
3090,86.0,0.176076287,103651
3100,87.0,0.176808512,103983
3110,87.0,0.177179479,104315
3120,87.0,0.17761332,104643
3130,87.0,0.177942755,104972
3140,85.0,0.17837086,105305
3150,87.0,0.178830257,105638
3160,87.0,0.179276373,105970
3170,85.0,0.179698975,106310
3180,86.0,0.180185693,106648
3190,86.0,0.180787543,106988
3200,86.0,0.181292018,107320
3210,91.0,0.181898342,107669
3220,91.0,0.182398468,108000
3230,87.0,0.182909333,108328
3240,87.0,0.18342429,108659
3250,87.0,0.183909688,108996
3260,88.0,0.184377091,109328
3270,88.0,0.184873244,109669
3280,87.0,0.185246722,109996
3290,87.0,0.18576507,110335
3300,87.0,0.187017213,110678
3310,87.0,0.18802751,111013
3320,87.0,0.188737051,111344
3330,87.0,0.189239921,111668
3340,85.0,0.189728919,112002
3350,88.0,0.190189327,112333
3360,85.0,0.190672829,112671
3370,85.0,0.191155805,113017
3380,87.0,0.191664666,113361
3390,87.0,0.192126157,113684
3400,87.0,0.192515053,114028
3410,87.0,0.193049438,114366
3420,87.0,0.193564839,114699
3430,88.0,0.193965673,115029
3440,88.0,0.194584933,115353
3450,88.0,0.195119006,115686
3460,88.0,0.195639818,116021
3470,84.0,0.196238169,116353
3480,84.0,0.196736454,116688
3490,85.0,0.197195634,117027
3500,85.0,0.197745591,117366
3510,85.0,0.198279653,117685
3520,85.0,0.199402418,118003
3530,86.0,0.200453858,118337
3540,87.0,0.201334313,118662
3550,86.0,0.201844609,118992
3560,86.0,0.202343773,119320
3570,85.0,0.202875567,119662
3580,86.0,0.203395555,119996
3590,87.0,0.20383694,120331
3600,86.0,0.204272495,120666
3610,86.0,0.204768504,120995
3620,87.0,0.205217893,121331
3630,86.0,0.205614878,121673
3640,86.0,0.206101512,122000
3650,86.0,0.206686785,122338
3660,86.0,0.207223314,122663
3670,86.0,0.207903806,122993
3680,90.0,0.208316363,123332
3690,88.0,0.208717374,123664
3700,88.0,0.209259688,123994
3710,87.0,0.209697099,124321
3720,86.0,0.210178365,124644
3730,88.0,0.210703758,124968
3740,90.0,0.211184962,125304
3750,86.0,0.211704517,125645
3760,85.0,0.212582286,125979
3770,85.0,0.213584209,126313
3780,85.0,0.214479214,126649
3790,86.0,0.215007056,126994
3800,86.0,0.215511891,127334
3810,87.0,0.216015191,127669
3820,87.0,0.216552627,128026
3830,87.0,0.217015106,128361
3840,87.0,0.217434999,128678
3850,88.0,0.217799206,129006
3860,88.0,0.218255556,129354
3870,89.0,0.218718919,129689
3880,91.0,0.219161134,130018
3890,90.0,0.219673383,130354
3900,88.0,0.220094224,130679
3910,88.0,0.220720181,131015
3920,88.0,0.221258037,131354
3930,88.0,0.221714431,131683
3940,88.0,0.22214888,132012
3950,88.0,0.222630857,132351
3960,88.0,0.223106874,132689
3970,89.0,0.223581751,133020
3980,90.0,0.223993258,133352
3990,88.0,0.22444947,133682
4000,89.0,0.225198174,134001
4010,89.0,0.226009622,134336
4020,89.0,0.226822217,134666
4030,88.0,0.227477778,135002
4040,88.0,0.227888455,135345
4050,88.0,0.228325188,135678
4060,88.0,0.2287342,136030
4070,88.0,0.229082286,136363
4080,88.0,0.229434652,136700
4090,88.0,0.229759352,137044
4100,88.0,0.230159832,137383
4110,88.0,0.230538821,137716
4120,89.0,0.231002785,138050
4130,88.0,0.231335225,138383
4140,88.0,0.231698552,138719
4150,89.0,0.23206033,139045
4160,89.0,0.232461814,139378
