problem,algorithm,params,best fitness,best iterations,best time,best fevals
TSP,MIMIC,"['100', '50', '0.1']",0.038756552292,2950,454.171284844,325500.0
TSP,GA,"['100', '50', '50']",0.102339084503,2680,1.13598205198,187681.0
TSP,SA,"['0.75']",0.060802853018199994,2970,0.005381466025939999,2981.0
TSP,RHC,"[]",0.0621664836522,3000,0.0061125839911300005,3011.0
