iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.164447639368,0.164066334847,0.226323793723,0.22498618021,0.028895497
10,0.164443887472,0.164063612014,0.226600304161,0.22498618021,0.303154206
20,0.1621542261,0.162086669438,0.284252730541,0.275290215589,0.570360929
30,0.162299974025,0.162178974086,0.282317157473,0.273631840796,0.801449505
40,0.162117166274,0.162055152523,0.28439098576,0.275843007186,1.043972684
50,0.162098573572,0.162038727737,0.284529240979,0.275843007186,1.279702265
60,0.162077726744,0.16202266413,0.284667496198,0.275843007186,1.550914358
70,0.162081315501,0.162029003688,0.284667496198,0.275843007186,1.792659463
80,0.161659979001,0.16166951881,0.284805751417,0.276948590381,2.044191243
90,0.161642786974,0.161655043376,0.284805751417,0.276948590381,2.259066408
100,0.161640747681,0.161653258097,0.284805751417,0.276948590381,2.479546477
110,0.161618073163,0.161628942837,0.284805751417,0.276948590381,2.706569595
120,0.154748019574,0.154880799553,0.29240978847,0.282476506357,2.938302282
130,0.15481022813,0.154976448399,0.29227153325,0.282476506357,3.185847003
140,0.154735126727,0.15486849484,0.292548043689,0.282476506357,3.431000762
150,0.152052911834,0.152531261488,0.308862159547,0.299613045882,3.660504894
160,0.15201321349,0.152503524225,0.308862159547,0.299613045882,3.893317632
170,0.152022660032,0.152508689803,0.30830913867,0.299613045882,4.110952947
180,0.1519895051,0.152468334263,0.308862159547,0.300165837479,4.326005182
190,0.151591865527,0.15240317436,0.305820544726,0.297401879491,4.543346118
200,0.151205191956,0.15204593082,0.309415180423,0.30237700387,4.763130308
210,0.132811295442,0.134396227869,0.628646481405,0.622996130459,4.985549551
220,0.131847197795,0.133623440266,0.629890778377,0.622996130459,5.202673366
230,0.131662933722,0.133399113835,0.631135075349,0.625760088447,5.426714344
240,0.131660540032,0.133398723728,0.631135075349,0.625760088447,5.650069902
250,0.131660496435,0.133399052066,0.631135075349,0.625760088447,5.887566214
260,0.127788748724,0.12930873661,0.635144476704,0.629076838032,6.113828115
270,0.127737207255,0.129262660576,0.636527028895,0.629076838032,6.335500869
280,0.126698437568,0.128366457928,0.638186091525,0.631288004422,6.555659505
290,0.126694747518,0.128359724162,0.638186091525,0.631288004422,6.775430885
300,0.126504799822,0.128223176686,0.638324346744,0.631288004422,6.992522913
310,0.1264909639,0.128206846197,0.638324346744,0.631288004422,7.219705971
320,0.124811505206,0.126610065353,0.643439789852,0.63405196241,7.434821408
330,0.124519610287,0.126315211651,0.645098852482,0.6362631288,7.661975828
340,0.124226240724,0.12610231132,0.645513618139,0.6362631288,7.892443949
350,0.124213648145,0.126072604024,0.645513618139,0.6362631288,8.12577779
360,0.123218119036,0.125344951894,0.658233098299,0.642343836374,8.36149117
370,0.122755029655,0.125011472868,0.659892160929,0.642896627971,8.596673527
380,0.122752959581,0.125008320167,0.659892160929,0.642896627971,8.81549505
390,0.122743436516,0.125000558343,0.659892160929,0.642896627971,9.044615711
400,0.122734666377,0.124995139506,0.659892160929,0.642896627971,9.265092634
410,0.122728991448,0.124987006183,0.659892160929,0.642896627971,9.489645494
420,0.122702315575,0.124963364422,0.659892160929,0.643449419569,9.725244158
430,0.122699237653,0.124959948724,0.659892160929,0.643449419569,9.969098424
440,0.119484619791,0.122345693192,0.668602239735,0.65450525152,10.214042473
450,0.119348655143,0.122211409251,0.668740494954,0.65450525152,10.458651509
460,0.107455932779,0.11057698171,0.701783492327,0.681592039801,10.698730827
470,0.104192609799,0.107314077784,0.701783492327,0.682144831399,10.9222821
480,0.104131075985,0.10725215588,0.701783492327,0.682144831399,11.148241014
490,0.104054730021,0.107130513276,0.701783492327,0.682144831399,11.373922171
500,0.104049042613,0.107125881498,0.701783492327,0.682144831399,11.611780123
510,0.103326468272,0.106512095963,0.701783492327,0.682697622996,11.861121562
520,0.103318113186,0.106503369874,0.701783492327,0.682697622996,12.142451996
530,0.103306655596,0.10648785308,0.701921747546,0.683250414594,12.409863772
540,0.103240030228,0.106412721116,0.701921747546,0.683250414594,12.646778852
550,0.111620233336,0.113115026286,0.690723074796,0.672194582642,12.871808295
560,0.103202504385,0.106376957757,0.701921747546,0.683250414594,13.09369805
570,0.0922830569192,0.095966763848,0.703442554956,0.684908789386,13.323357787
580,0.0922785327723,0.0959628704572,0.703442554956,0.684908789386,13.563157398
590,0.0920842670585,0.0957797670017,0.710355315913,0.69098949696,13.80165291
600,0.0918000319448,0.0954479279688,0.710493571132,0.69098949696,14.041311698
610,0.0916351485441,0.0953343946778,0.710631826351,0.69098949696,14.265182966
620,0.0916247247272,0.0953230007594,0.710631826351,0.69098949696,14.508229124
630,0.0916011719536,0.0952938775117,0.710631826351,0.69098949696,14.734452598
640,0.089761472586,0.0935716134819,0.710770081571,0.69098949696,14.975701081
650,0.0892130620024,0.0930705837742,0.710770081571,0.691542288557,15.218232321
660,0.0886064050567,0.0926203386461,0.710770081571,0.691542288557,15.442178178
670,0.0885897009228,0.0926037573225,0.710770081571,0.691542288557,15.663468147
680,0.0883722410195,0.0924325263791,0.710770081571,0.69098949696,15.885970332
690,0.0878109576179,0.0918325709287,0.711599612885,0.69098949696,16.10642625
700,0.0875193429786,0.0916016217501,0.711737868105,0.69098949696,16.336220406
710,0.0875153871112,0.0916016350642,0.711737868105,0.69098949696,16.55678185
720,0.0873612371903,0.091456918999,0.716300290336,0.694306246545,16.779311086
730,0.087346754219,0.0914425766122,0.716300290336,0.694306246545,17.024064491
740,0.0873442293956,0.0914423384832,0.716300290336,0.694306246545,17.268235895
750,0.0873308513207,0.0914305070929,0.716300290336,0.694306246545,17.512341967
760,0.0873290848124,0.0914322291683,0.716300290336,0.694306246545,17.753009995
770,0.087324568063,0.0914283820694,0.716300290336,0.694306246545,17.976122489
780,0.0872986670841,0.091409513031,0.716300290336,0.694306246545,18.236043453
790,0.0872935298649,0.0914051716374,0.716300290336,0.694306246545,18.511966331
800,0.084457877743,0.0881975816063,0.716438545555,0.694306246545,18.766418652
810,0.0844545450532,0.0881940292281,0.716438545555,0.694306246545,18.986067525
820,0.0844486188527,0.0881926437901,0.716438545555,0.694306246545,19.208738464
830,0.0851535513454,0.088570509589,0.716991566432,0.694306246545,19.429367338
840,0.0844278527259,0.0881707591385,0.716991566432,0.694306246545,19.694343561
850,0.0844267481795,0.0881705588798,0.716991566432,0.694306246545,19.942037219
860,0.0844169608144,0.0881543937358,0.716991566432,0.694306246545,20.191641418
870,0.0844191861692,0.0881566391911,0.716853311212,0.694306246545,20.418697166
880,0.084251736537,0.0880149739558,0.719065394719,0.696517412935,20.638095624
890,0.0842424522763,0.0880068241727,0.719065394719,0.696517412935,20.863187474
900,0.0838517767546,0.0875162220372,0.720862712567,0.699281370923,21.103905965
910,0.0838427079751,0.0875077474839,0.721000967787,0.699281370923,21.319933426
920,0.0838239989558,0.0874893164946,0.721000967787,0.699281370923,21.538848368
930,0.0837406664334,0.0874576672015,0.721692243882,0.699281370923,21.757481535
940,0.0835443505825,0.087278368491,0.721830499101,0.699281370923,21.981417992
950,0.0833395784267,0.0870776913778,0.72210700954,0.699281370923,22.214554682
960,0.083329150144,0.0870655616241,0.72210700954,0.699281370923,22.448029178
970,0.0833108917873,0.0870480809113,0.72210700954,0.699281370923,22.67693687
980,0.0833105398883,0.0870474044018,0.72210700954,0.699281370923,22.89299872
990,0.0832789065233,0.0870228318073,0.722660030416,0.699834162521,23.112188313
1000,0.0832764755712,0.0870217361435,0.722660030416,0.699834162521,23.333657715
1010,0.0980323240832,0.1012808307,0.681045209457,0.667219458264,23.550092872
1020,0.0809253756444,0.0850320899623,0.742292271533,0.71807628524,23.774471092
1030,0.0808550790745,0.0849279974314,0.743121802848,0.719181868436,24.00489531
1040,0.0712397914982,0.0749091137855,0.852896446841,0.83416252073,24.221961313
1050,0.0712368665244,0.0749063259574,0.852896446841,0.83416252073,24.451585272
1060,0.0712271604272,0.0749003208349,0.852896446841,0.83416252073,24.689348743
1070,0.0712202570161,0.074890126276,0.85303470206,0.83416252073,24.92763313
1080,0.0712201820811,0.0748900042552,0.85303470206,0.83416252073,25.155965158
1090,0.0712047608043,0.0748729029811,0.853311212498,0.83416252073,25.406984284
1100,0.071229890428,0.0748990251835,0.853172957279,0.83416252073,25.652852323
1110,0.0660784382848,0.0698863219386,0.860500483893,0.844665561083,25.896013825
1120,0.0660777295182,0.0698858712268,0.860500483893,0.844665561083,26.133177184
1130,0.063577291948,0.0676038472708,0.86105350477,0.845771144279,26.350293675
1140,0.0630571508763,0.0670276166396,0.862850822619,0.847429519071,26.573498196
1150,0.0630499818693,0.0670184548626,0.862850822619,0.847429519071,26.807582129
1160,0.0630529922481,0.0670195975243,0.862850822619,0.847429519071,27.063141978
1170,0.0630132902643,0.0669877744281,0.862989077838,0.847429519071,27.30031579
1180,0.0630098978645,0.0669833837302,0.862989077838,0.847429519071,27.535723197
1190,0.0630047133949,0.0669764192208,0.862989077838,0.847429519071,27.754251635
1200,0.0632414941279,0.0671303806522,0.862989077838,0.847429519071,27.97452113
1210,0.0630022803674,0.0669682483855,0.862989077838,0.847429519071,28.192042174
1220,0.0630016753202,0.0669677447646,0.862989077838,0.847429519071,28.435212584
1230,0.0629616670788,0.0669132176751,0.862989077838,0.847429519071,28.674114749
1240,0.0629540656787,0.0668948311595,0.862989077838,0.847982310669,28.903308272
1250,0.0629496019211,0.0668927624328,0.862989077838,0.847982310669,29.127644981
1260,0.0629438188641,0.0668867992346,0.862989077838,0.847982310669,29.359005323
1270,0.0629318062358,0.0668703440979,0.862989077838,0.847982310669,29.576341154
1280,0.0582206488207,0.0619478496984,0.88345085027,0.872857932559,29.803021208
1290,0.0579580574807,0.0616984377593,0.88345085027,0.872857932559,30.030601541
1300,0.058012149198,0.0617344763805,0.88345085027,0.872857932559,30.247708092
1310,0.0579527239437,0.0616946769201,0.88345085027,0.872857932559,30.467302442
1320,0.0579286462207,0.0616590728106,0.88345085027,0.872857932559,30.687290557
1330,0.057892912969,0.0616283205053,0.88345085027,0.872857932559,30.905337793
1340,0.0578924599046,0.0616284626536,0.88345085027,0.872857932559,31.141928213
1350,0.0578841955583,0.0616205944786,0.88345085027,0.872857932559,31.382994727
1360,0.0577926608213,0.0614977226579,0.88345085027,0.872857932559,31.613776674
1370,0.0577924195616,0.0614972311755,0.88345085027,0.872857932559,31.849320658
1380,0.0576844272877,0.0613640203286,0.88345085027,0.872857932559,32.097971092
1390,0.0576833263669,0.061363462191,0.88345085027,0.872857932559,32.31997783
