iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.135637332508,0.135820713684,0.275819162173,0.278054173577,0.025668612
10,0.135850280668,0.135954428125,0.275127886078,0.277501381979,0.265995777
20,0.135836445691,0.135950996407,0.275127886078,0.277501381979,0.490589119
30,0.135582103196,0.135746660591,0.274021844325,0.275290215589,0.72261626
40,0.135593074297,0.135761933145,0.274160099544,0.275290215589,0.978471876
50,0.13528883243,0.135460168472,0.274021844325,0.275290215589,1.222222824
60,0.135278982748,0.135450110171,0.274160099544,0.275290215589,1.45941369
70,0.135270558078,0.135440797634,0.274160099544,0.275843007186,1.684118858
80,0.135268522641,0.135440039369,0.274160099544,0.275843007186,1.91402175
90,0.134887384579,0.13505029254,0.275680906954,0.276948590381,2.13396325
100,0.134828966775,0.13498527793,0.275680906954,0.278054173577,2.357732142
110,0.134690574094,0.134888261797,0.276648693488,0.279159756772,2.579979301
120,0.134382963609,0.13454880488,0.277478224803,0.281370923162,2.800798398
130,0.134218553231,0.134406594571,0.277478224803,0.281370923162,3.016713039
140,0.134038976093,0.134203892068,0.27803124568,0.28192371476,3.243249954
150,0.134035253037,0.134199286537,0.27803124568,0.28192371476,3.501310481
160,0.134028293952,0.134193452682,0.278169500899,0.28192371476,3.75134486
170,0.133955608124,0.134100780833,0.278584266556,0.28192371476,4.007519425
180,0.133943221999,0.134078599349,0.278860776994,0.283029297955,4.26364976
190,0.133943738836,0.134079229019,0.278860776994,0.283029297955,4.539163489
200,0.133945201773,0.134081017817,0.278722521775,0.283029297955,4.785983652
210,0.133930217268,0.134060523119,0.278860776994,0.283029297955,5.04343651
220,0.133909858663,0.134035073822,0.279413797871,0.283029297955,5.280047146
230,0.133909366441,0.134034791491,0.279413797871,0.283029297955,5.499968417
240,0.133902919374,0.134028868056,0.279413797871,0.283029297955,5.769802062
250,0.133863689971,0.134008377731,0.279413797871,0.283029297955,6.00215207
260,0.133862623196,0.134006356773,0.279413797871,0.283029297955,6.244426832
270,0.133860987787,0.13400598096,0.279413797871,0.283029297955,6.473454947
280,0.133482608974,0.133568169162,0.28121111572,0.284687672747,6.690206289
290,0.133465995542,0.133551759854,0.28121111572,0.284687672747,6.906533254
300,0.133451979066,0.133540086241,0.281487626158,0.285240464345,7.126855482
310,0.133444861655,0.13353574229,0.281764136596,0.285240464345,7.353176304
320,0.133440312502,0.133533140211,0.281764136596,0.285240464345,7.572272369
330,0.133405107921,0.133500052583,0.282593667911,0.285793255943,7.789286576
340,0.129075607161,0.129273309233,0.29545140329,0.302929795467,8.007641142
350,0.129041683184,0.129254182295,0.29558965851,0.302929795467,8.224339407
360,0.129040782785,0.129253119866,0.29558965851,0.302929795467,8.440562606
370,0.128676074263,0.128816402301,0.295727913729,0.301824212272,8.66022925
380,0.128675166557,0.128815484176,0.295727913729,0.301824212272,8.879844143
390,0.128353812022,0.128427600319,0.295036637633,0.303482587065,9.102725075
400,0.126171033468,0.126331429615,0.29876952855,0.30679933665,9.326453165
410,0.126165633031,0.126324311509,0.29876952855,0.30679933665,9.54743496
420,0.126161190668,0.126320939541,0.29876952855,0.30679933665,9.766365373
430,0.126160619785,0.126318631858,0.29876952855,0.30679933665,9.99263999
440,0.119273296714,0.119331128508,0.344670261302,0.355997788834,10.212933181
450,0.119227445562,0.119283619477,0.344532006083,0.355997788834,10.433176756
460,0.119231456414,0.119278167617,0.344532006083,0.355997788834,10.65251946
470,0.11921902571,0.119271369405,0.344670261302,0.355997788834,10.872190394
480,0.119116202679,0.119125881845,0.345361537398,0.356550580431,11.092244771
490,0.119109500438,0.119120539248,0.345361537398,0.356550580431,11.311450015
500,0.108403001557,0.108692552132,0.437992534218,0.442233278054,11.532000658
510,0.108228460116,0.10829339634,0.439651596848,0.446655610835,11.750612219
520,0.1082214207,0.108282402981,0.439789852067,0.446655610835,11.970065678
530,0.10634077842,0.106208950085,0.444214019079,0.451630735213,12.190032249
540,0.106276441036,0.106145661346,0.444214019079,0.451630735213,12.409835618
550,0.106243628201,0.106127187382,0.44407576386,0.451630735213,12.63070782
560,0.106199368999,0.106078119832,0.444767039956,0.451630735213,12.861083992
570,0.106186350172,0.106066005523,0.444767039956,0.451630735213,13.084427657
580,0.106220919195,0.106107199071,0.444767039956,0.451630735213,13.305438113
590,0.106110075669,0.106018444819,0.445043550394,0.451077943615,13.527378585
600,0.0784076926077,0.0796171135741,0.88345085027,0.872857932559,13.748122485
610,0.0784056301339,0.0796158534527,0.88345085027,0.872857932559,13.970789615
620,0.0783960455215,0.0796194008462,0.88345085027,0.872857932559,14.191576107
630,0.0783543929385,0.0795629487485,0.88345085027,0.872857932559,14.411476187
640,0.0781592992763,0.0794947482285,0.88345085027,0.872857932559,14.632379515
650,0.0770645850089,0.0783696097037,0.88345085027,0.872857932559,14.85551654
660,0.076723065249,0.0781352560219,0.88345085027,0.872857932559,15.077077689
670,0.0767197567711,0.0781318655376,0.88345085027,0.872857932559,15.297870424
680,0.0916233185465,0.0923623721195,0.883036084612,0.872857932559,15.518891264
690,0.0767140180623,0.0781241863786,0.88345085027,0.872857932559,15.740425305
700,0.0764635751461,0.0777703823895,0.88345085027,0.872857932559,15.961977653
710,0.0763990825527,0.0777102891847,0.88345085027,0.872857932559,16.184621426
720,0.076393154737,0.0777014995854,0.88345085027,0.872857932559,16.405079509
730,0.0763927210313,0.077700810057,0.88345085027,0.872857932559,16.631820453
740,0.0755551838511,0.0769136250575,0.88345085027,0.872857932559,16.854807293
750,0.0755458146104,0.0769079924311,0.88345085027,0.872857932559,17.075937421
760,0.0755453412493,0.0769078527193,0.88345085027,0.872857932559,17.301334529
770,0.0755438351783,0.0769053709484,0.88345085027,0.872857932559,17.522855329
780,0.0755296984299,0.076921235333,0.88345085027,0.872857932559,17.744704698
790,0.0750908948856,0.0766394553594,0.88345085027,0.872857932559,17.964672401
800,0.0750891811656,0.0766375703372,0.88345085027,0.872857932559,18.187060173
810,0.0750873796363,0.0766361586105,0.88345085027,0.872857932559,18.408184317
