iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.283935930799,0.280768435819,0.198396239458,0.215035931454,0.12874568
10,0.0480140736336,0.0515178591341,0.88345085027,0.872857932559,0.90127092
20,0.0412834313927,0.0438428242723,0.884142126365,0.876174682145,1.730068947
30,0.0392466286603,0.0431079105352,0.886215954652,0.881149806523,2.450205638
40,0.0376532576073,0.0423952738537,0.893958246924,0.876174682145,3.190300725
50,0.0363074124314,0.0417426988568,0.896999861745,0.876174682145,3.936584292
60,0.035060758757,0.0417609379231,0.899626710908,0.878938640133,4.691654259
70,0.0346042729679,0.0419449602671,0.9010092631,0.87949143173,5.406472514
80,0.0340161273886,0.0418546652322,0.903083091387,0.880044223328,6.246870794
90,0.0336118727499,0.0416947340205,0.903359601825,0.880597014925,6.98868755
100,0.0333042501388,0.0418099343341,0.905018664455,0.880044223328,7.7079193
110,0.0332154317281,0.0418380374371,0.905433430112,0.880597014925,8.423845477
120,0.0330963191002,0.0418244929029,0.905848195769,0.881149806523,9.192226133
130,0.0328781068923,0.0419543160285,0.906539471865,0.880597014925,9.960782746
140,0.0328280753867,0.0421011992852,0.906539471865,0.881149806523,10.759533514
150,0.0327688737539,0.0421575664221,0.906815982303,0.880597014925,11.496173128
160,0.0326640707298,0.0422056750704,0.906954237522,0.87949143173,12.262732415
170,0.0326184532065,0.0422414610767,0.907230747961,0.880044223328,13.038559408
180,0.0325500702132,0.0422747440429,0.90736900318,0.87949143173,13.790322816
190,0.0325120093664,0.0422631124972,0.907507258399,0.87949143173,14.51902077
200,0.0324852625403,0.042300989677,0.907507258399,0.87949143173,15.298564126
210,0.0324330396194,0.0423678580375,0.907783768837,0.87949143173,16.062866794
220,0.032407651258,0.0424055439652,0.907783768837,0.87949143173,16.803944249
230,0.0323826873123,0.042391265307,0.907783768837,0.880044223328,17.556736459
240,0.0323557133577,0.0423087070504,0.907783768837,0.87949143173,18.304725319
250,0.0322768925318,0.0421284937656,0.907783768837,0.87949143173,19.138866224
260,0.0321514753009,0.0420984577948,0.907922024056,0.87949143173,19.897048763
270,0.0321258892628,0.0420260374397,0.907783768837,0.87949143173,20.686212929
280,0.0320974950778,0.041873651822,0.907783768837,0.880597014925,21.475215018
290,0.0320537450117,0.041953018502,0.907922024056,0.880044223328,22.244162827
300,0.0320317399831,0.0420089404935,0.908060279276,0.880044223328,23.026748332
310,0.0319470153438,0.0420841977371,0.908336789714,0.880044223328,23.772099735
320,0.0318838725962,0.0419824201091,0.908475044933,0.880044223328,24.494339154
330,0.0318450706256,0.0418657473828,0.908475044933,0.880597014925,25.28965457
340,0.0318214271761,0.0420677102321,0.908613300152,0.880044223328,26.088285203
350,0.0318047602386,0.0421662487242,0.908613300152,0.880044223328,26.869638964
360,0.0317819611346,0.0422193748917,0.908613300152,0.880044223328,27.601837919
370,0.0317378196603,0.0421314450689,0.908751555371,0.881149806523,28.363900541
380,0.0317015177085,0.0421089145811,0.90888981059,0.881149806523,29.150354491
390,0.0316923383609,0.0419872617615,0.909028065809,0.881702598121,29.974938512
400,0.0316818323433,0.0418858071245,0.909028065809,0.881149806523,30.763697658
410,0.0316262453764,0.0418073442197,0.909166321029,0.881149806523,31.49624929
420,0.0316125290121,0.041852095723,0.909304576248,0.881149806523,32.274628593
430,0.0315946769606,0.0419225442565,0.909442831467,0.881149806523,33.027071739
440,0.0315842994364,0.0420065505397,0.909442831467,0.881702598121,34.526829207
450,0.0315337780457,0.0420784015217,0.909581086686,0.881702598121,35.541286835
460,0.0315079546241,0.0421658041745,0.909857597124,0.881149806523,36.360665294
470,0.031486440822,0.0422139457629,0.909857597124,0.880597014925,37.084851444
480,0.0314478500042,0.0423213292595,0.909995852343,0.880044223328,37.757203797
490,0.0314232511619,0.0423052934703,0.909995852343,0.880044223328,38.39165793
500,0.0314059298006,0.0423182000625,0.909995852343,0.880044223328,39.068823687
510,0.0313912100375,0.0423097097153,0.909995852343,0.880044223328,39.727022703
520,0.0313833572448,0.0422872140628,0.909995852343,0.880597014925,40.365577111
530,0.03137313723,0.0422716797134,0.909995852343,0.880597014925,40.999099784
540,0.0313664031375,0.0422810852993,0.909995852343,0.880597014925,41.623974379
550,0.0313590763923,0.0422478902779,0.909995852343,0.880597014925,42.261260486
560,0.0313547320006,0.0422188726539,0.909995852343,0.880597014925,42.900922473
570,0.031345190367,0.0421397172763,0.910134107563,0.880597014925,43.538046216
580,0.0313401597778,0.0420866522211,0.910134107563,0.880597014925,44.204211258
590,0.0313251676529,0.0420336422579,0.910134107563,0.880597014925,44.834112948
600,0.031311007946,0.0419927545305,0.910134107563,0.881149806523,45.47428811
610,0.0312867235679,0.0419021604033,0.910134107563,0.881149806523,46.113705986
620,0.0312261874541,0.0418424895825,0.910272362782,0.881702598121,46.753312119
630,0.0311941129319,0.04187002839,0.910410618001,0.881149806523,47.393387158
640,0.0311763956394,0.0419290907114,0.91054887322,0.881149806523,48.037470471
650,0.0311632144653,0.0418877679103,0.91054887322,0.881702598121,48.729506089
660,0.0311515269993,0.0418640892617,0.91054887322,0.881702598121,49.362358984
670,0.0311428181416,0.0418499847354,0.91054887322,0.881149806523,49.991972189
680,0.0311402129571,0.0418757432064,0.91054887322,0.881702598121,50.629441894
690,0.0311312266894,0.0419260210657,0.91054887322,0.881149806523,51.26618446
700,0.0311262236,0.0419225034977,0.91054887322,0.882255389718,51.900370605
710,0.0311245328926,0.0419322449622,0.91054887322,0.882255389718,52.526795941
720,0.031123337117,0.0419413069249,0.91054887322,0.881702598121,53.194352264
730,0.0311224663804,0.0419555503197,0.91054887322,0.881702598121,53.854596413
740,0.0311204792005,0.0419457054304,0.91054887322,0.882255389718,54.482676376
750,0.031119175836,0.0419351427591,0.91054887322,0.882255389718,55.119057997
760,0.0311164221,0.0419289499234,0.91054887322,0.882255389718,55.748273166
770,0.0311152414213,0.0419069755924,0.91054887322,0.882255389718,56.37663339
780,0.0311159613589,0.0419027913249,0.91054887322,0.882255389718,57.005803055
790,0.0311147961237,0.0419016236969,0.91054887322,0.882255389718,57.63139251
800,0.0311139005798,0.0418979956545,0.91054887322,0.882255389718,58.315467531
810,0.0311138286753,0.0418969253172,0.91054887322,0.882255389718,58.944841174
820,0.0311129487464,0.0418896424018,0.91054887322,0.882255389718,59.57275763
830,0.0311125242832,0.0418878563624,0.91054887322,0.882255389718,60.194495301
840,0.0311118036464,0.0418844013431,0.91054887322,0.882255389718,60.918957381
850,0.0311113575838,0.0418845140674,0.91054887322,0.881702598121,61.611901341
860,0.0311109976401,0.041878498302,0.91054887322,0.882255389718,62.280890697
870,0.0311110060601,0.0418778064156,0.91054887322,0.882255389718,63.090595367
